site1	site2	fst	pval	dist	sig	p.bonf	p.fdr	sig.bonf	sig.fdr	region.1.wgulf	region.2.wgulf	region.1.egulf	region.2.egulf	region.1.atl	region.2.atl	wgulf.egulf	wgulf.atl	egulf.atl	comparison
WAS	MAT	0.08273	0	3101	TRUE	0	0	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	WGulf.Atl
SCA	MAT	0.07367	0	3247	TRUE	0	0	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	WGulf.Atl
LLM	SAB	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Within Region
MAT	SAB	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Within Region
SAB	SAB	0	NA	0	FALSE	NA	NA	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Within Region
MIS	SAB	0.00152	0.19652	693	FALSE	1	0.200159259259259	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Within Region
APA	SAB	0.12833	0	1120	TRUE	0	0	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	WGulf.EGulf
CEK	SAB	0.17803	0	1394	TRUE	0	0	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	WGulf.EGulf
CHA	SAB	0.20559	0	1681	TRUE	0	0	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	WGulf.EGulf
IND	SAB	0.09033	0	2418	TRUE	0	0	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	WGulf.Atl
HAR	SAB	0.08559	0	2739	TRUE	0	0	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	WGulf.Atl
WAS	SAB	0.08457	0	2824	TRUE	0	0	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	WGulf.Atl
SCA	SAB	0.07566	0	2970	TRUE	0	0	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	WGulf.Atl
LLM	MIS	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Within Region
MAT	MIS	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Within Region
SAB	MIS	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Within Region
MIS	MIS	0	NA	0	FALSE	NA	NA	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Within Region
APA	MIS	0.11353	0	427	TRUE	0	0	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	WGulf.EGulf
CEK	MIS	0.1595	0	701	TRUE	0	0	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	WGulf.EGulf
CHA	MIS	0.1863	0	988	TRUE	0	0	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	WGulf.EGulf
IND	MIS	0.07656	0	1725	TRUE	0	0	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	WGulf.Atl
HAR	MIS	0.07448	0	2046	TRUE	0	0	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	WGulf.Atl
WAS	MIS	0.07286	0	2131	TRUE	0	0	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	WGulf.Atl
SCA	MIS	0.06409	0	2277	TRUE	0	0	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	WGulf.Atl
LLM	APA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	WGulf.EGulf
MAT	APA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	WGulf.EGulf
SAB	APA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	WGulf.EGulf
MIS	APA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	WGulf.EGulf
APA	APA	0	NA	0	FALSE	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Within Region
CEK	APA	0.01426	0	274	TRUE	0	0	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Within Region
CHA	APA	0.02368	0	561	TRUE	0	0	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Within Region
IND	APA	0.03819	0	1298	TRUE	0	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	EGulf.Atl
HAR	APA	0.05162	0	1619	TRUE	0	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	EGulf.Atl
WAS	APA	0.0447	0	1704	TRUE	0	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	EGulf.Atl
SCA	APA	0.04422	0	1850	TRUE	0	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	EGulf.Atl
LLM	CEK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	WGulf.EGulf
MAT	CEK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	WGulf.EGulf
SAB	CEK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	WGulf.EGulf
MIS	CEK	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	WGulf.EGulf
APA	CEK	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Within Region
CEK	CEK	0	NA	0	FALSE	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Within Region
CHA	CEK	0.00462	0.00584	287	TRUE	0.3212	0.006424	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Within Region
IND	CEK	0.06033	0	1024	TRUE	0	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	EGulf.Atl
HAR	CEK	0.08165	0	1345	TRUE	0	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	EGulf.Atl
WAS	CEK	0.07947	0	1430	TRUE	0	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	EGulf.Atl
SCA	CEK	0.07269	0	1576	TRUE	0	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	EGulf.Atl
LLM	CHA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	WGulf.EGulf
MAT	CHA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	WGulf.EGulf
SAB	CHA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	WGulf.EGulf
MIS	CHA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	WGulf.EGulf
APA	CHA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Within Region
CEK	CHA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Within Region
CHA	CHA	0	NA	0	FALSE	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Within Region
IND	CHA	0.07502	0	737	TRUE	0	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	EGulf.Atl
HAR	CHA	0.09908	0	1058	TRUE	0	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	EGulf.Atl
WAS	CHA	0.09241	0	1143	TRUE	0	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	EGulf.Atl
SCA	CHA	0.08946	0	1289	TRUE	0	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	EGulf.Atl
LLM	IND	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	WGulf.Atl
MAT	IND	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	WGulf.Atl
SAB	IND	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	WGulf.Atl
MIS	IND	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	WGulf.Atl
APA	IND	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	EGulf.Atl
CEK	IND	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	EGulf.Atl
CHA	IND	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	EGulf.Atl
IND	IND	0	NA	0	FALSE	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	Within Region
HAR	IND	0.0125	0	321	TRUE	0	0	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	Within Region
WAS	IND	0.0121	0	406	TRUE	0	0	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	Within Region
SCA	IND	0.00677	0	552	TRUE	0	0	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	Within Region
LLM	HAR	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	WGulf.Atl
MAT	HAR	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	WGulf.Atl
SAB	HAR	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	WGulf.Atl
MIS	HAR	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	WGulf.Atl
APA	HAR	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	EGulf.Atl
CEK	HAR	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	EGulf.Atl
CHA	HAR	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	EGulf.Atl
IND	HAR	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	Within Region
HAR	HAR	0	NA	0	FALSE	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	Within Region
WAS	HAR	0.00784	0.00109	85	TRUE	0.05995	0.00124895833333333	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	Within Region
SCA	HAR	0.00534	0.00455	231	TRUE	0.25025	0.00510714285714286	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	Within Region
LLM	WAS	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	WGulf.Atl
MAT	WAS	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	WGulf.Atl
SAB	WAS	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	WGulf.Atl
MIS	WAS	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	WGulf.Atl
APA	WAS	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	EGulf.Atl
CEK	WAS	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	EGulf.Atl
CHA	WAS	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	EGulf.Atl
IND	WAS	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	Within Region
HAR	WAS	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	Within Region
WAS	WAS	0	NA	0	FALSE	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	Within Region
SCA	WAS	0.00183	0.17167	146	FALSE	1	0.178148113207547	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	Within Region
LLM	SCA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	WGulf.Atl
MAT	SCA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	WGulf.Atl
SAB	SCA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	WGulf.Atl
MIS	SCA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	WGulf.Atl
APA	SCA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	EGulf.Atl
CEK	SCA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	EGulf.Atl
CHA	SCA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	EGulf.Atl
IND	SCA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	Within Region
HAR	SCA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	Within Region
WAS	SCA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	Within Region
SCA	SCA	0	NA	0	FALSE	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	Within Region
